"Plates45-3.flat.Label-Analysis"
"Volume3d (µm^3) ","Area3d (µm^2) ","BaryCenterX (µm) ","BaryCenterY (µm) ","BaryCenterZ (µm) ","Mean","index"
218.949,184.921,3497.39,827.212,376.063,7935,1
15.6392,18.7876,3479.88,843.288,373.919,8579,2
46.9177,51.7437,3613.26,844.122,374.753,8444.67,3
156.392,133.397,3470.63,852.541,375.92,8255,4
110867,28992.9,3553.39,942.19,390.541,8199.06,5
6114.94,2782.67,980.686,909.453,379.918,8321.91,6
1.04586e+6,155565,833.073,1011.04,413.329,6271.19,7
422.26,261.895,3328.45,912.013,375.679,4426.63,8
18376.1,3950.83,3266.94,956.058,379.997,2514.3,9
437.899,266.836,3640.65,997.621,376.42,4071.71,10
1720.32,712.515,3782.02,1008.43,377.329,2759.22,11
78.1962,78.5425,860.089,1056.35,373.919,7722.8,12
7710.15,2850.33,1518.84,1084.97,380.031,5953.43,13
344.063,276.988,1542.25,1082.79,374.715,7133.36,14
31.2785,35.281,1518.04,1108.37,373.919,8094,15
250.228,211.648,805.01,1132.44,374.388,6098,16
3002.74,1243.15,812.343,1152.25,379.181,4826.42,17
62.557,63.3781,1026.64,1212.15,375.169,5391.5,18
3174.77,1262.23,792.307,1252.65,378.095,7230.84,19
172.032,137.03,1682.98,1135.19,379.375,4586.82,20
78.1962,78.2406,1397.25,845.289,381.421,6762.4,21
62.557,63.3781,2617.12,1049.6,380.171,6915.5,22
78.1962,76.2385,4250.62,924.313,382.922,7121.8,23
469.177,280.472,4187.77,1147.8,386.256,3679.27,24
46.9177,50.4766,3587.42,947.486,384.756,8508.33,25
125.114,110.231,582.755,1120.87,384.547,6325.75,26
578.652,331.158,3376.47,1206.37,388.113,4639.27,27
1642.12,661.413,1173.21,1215.47,389.781,3519.32,28
250.228,183.602,1817.35,829.221,388.611,4846.31,29
15.6392,18.7876,721.547,865.795,386.423,7167,30
109.475,103.267,3602.06,881.871,389.995,8221.14,31
15.6392,18.7876,3972.53,948.32,386.423,7264,32
3597.03,1236.82,561.966,973.795,397.568,5255.9,33
140.753,119.51,4431.84,1153.66,387.812,6209,34
15.6392,18.7876,794.069,1263.42,386.423,8138,35
578.652,324.98,1493.81,1087.15,391.965,3712.92,36
109.475,99.6755,2926.5,1167.31,391.067,6624,37
93.8355,86.8153,4023.38,1182.56,390.174,7783.67,38
46.9177,50.4662,3914.18,1191.73,388.924,6033.33,39
891.437,440.335,1527.23,1198.83,393.004,4149.21,40
78.1962,79.5488,2191.99,953.321,393.925,6241.6,41
109.475,105.562,3496.32,1025.49,393.211,7908.86,42
797.602,436.881,892.334,1046.68,394.415,8669.18,43
15.6392,18.7876,874.093,1065.86,391.424,8538,44
