"PlatesH2v2.mid.Label-Analysis"
"Volume3d (µm^3) ","Area3d (µm^2) ","BaryCenterX (µm) ","BaryCenterY (µm) ","BaryCenterZ (µm) ","Mean","index"
344.064,268.776,3653.02,3193.68,-120.439,3911.68,1
8883.1,2073.46,3486.84,3197.5,-110.693,2115.37,2
187.671,149.901,4572.22,3200.25,-120.06,4440.25,3
62.557,65.6515,1156.18,3237.55,-120.894,4928,4
20659.5,4297.39,4260.88,3296.77,-106.283,9183.1,5
375.342,324.156,3383.01,3375.09,-120.894,4158.46,6
156.393,145.956,3829.62,3401.85,-120.894,5542.1,7
62.557,64.3535,2911.72,3503.26,-119.018,5864,8
31.2785,35.281,3671.32,3526.39,-120.894,5861.5,9
93.8355,86.8048,2614.34,3606.42,-119.227,4843,10
140.753,131.155,3443.75,3687.69,-118.393,2983.67,11
359.703,233.849,2505.64,3256.8,-115.24,3804.65,12
93.8355,86.8048,2664.35,3431.36,-116.726,5410.83,13
46.9178,50.4662,2245.06,3508.47,-118.393,4831.33,14
125.114,118.253,4574.41,3187.54,-113.079,5595.5,15
516.095,314.685,2662.61,3650.63,-112.482,3580.39,16
703.766,369.862,4341.19,3464.18,-109.224,3618.24,17
109.475,96.0732,3934.98,3506.21,-111.963,5584.57,18
62.557,63.3781,1533.17,3633.92,-112.141,4723.25,19
250.228,178.994,2711.97,3325.55,-108.234,4082.13,20
62.557,65.6723,1411.26,3495.13,-108.39,4389.25,21
3597.03,1138.75,802.071,3466,-99.5939,2812.96,22
766.323,434.971,3072.42,3613.18,-105.43,4106.04,23
93.8355,86.8154,1122.22,3301.74,-104.639,5508.17,24
484.817,285.373,819.489,3326.45,-102.985,3590.13,25
2080.02,781.326,690.756,3377.63,-99.7596,2789.9,26
15.6393,18.7876,3418.75,3572.65,-105.889,6419,27
15.6393,18.7876,3451.26,3635.17,-103.389,5974,28
5348.62,1453.31,3184.28,3342.97,-92.0108,2437.52,29
5051.48,1422.42,1596.72,3359.63,-91.9222,2145.49,30
15.6393,18.7876,1015.52,3677.69,-100.888,6496,31
31.2785,35.281,1640.71,3248.81,-98.387,5115.5,32
5692.69,1534.53,564.411,3564.08,-89.5794,2069.65,33
297.146,204.726,680.678,3311.65,-93.2539,3934.32,34
109.475,99.6651,1387.06,3309.72,-94.1,5750,35
109.475,99.6755,3698.12,3523.71,-93.0283,4813.29,36
15.6393,18.7876,4574.1,3367.59,-93.3855,4107,37
203.31,161.141,1701.3,3420.88,-89.7306,4010.08,38
31.2785,35.281,2753.55,3541.4,-93.3855,7349,39
46.9178,50.4766,1848.27,3321.75,-89.2176,6217.67,40
