"PlatesH3.flat.Label-Analysis"
"Volume3d (µm^3) ","Area3d (µm^2) ","BaryCenterX (µm) ","BaryCenterY (µm) ","BaryCenterZ (µm) ","Mean","index"
2439.72,902.137,2113.92,3051.5,404.37,1892.24,1
250.228,178.983,1829.66,3082.51,403.296,3972.69,2
187.671,148.593,821.702,3161.44,401.629,4409.08,3
1470.09,695.19,4137.51,3210.06,406.09,6924.26,4
78.1963,78.5425,1782.37,3221.33,400.795,8850.2,5
484.817,316.529,2023.3,3225.67,404.184,7257.13,6
719.406,386.61,2839.41,3275.58,404.601,9467.72,7
218.95,172.019,4453.43,3293.71,401.51,3205.21,8
15.6393,18.7876,2784.17,3315.86,400.795,5747,9
172.032,138.298,1412.39,3428.62,403.524,4880.64,10
140.753,122.488,3277.1,3105.24,406.075,4944.44,11
31.2785,35.281,1307.47,3463.41,403.296,6607,12
15.6393,18.7876,3556.91,3503.42,403.296,6985,13
125.114,110.242,4043.62,3415.89,406.735,5029.13,14
46.9178,50.4662,3175.96,3441.73,405.797,4903.33,15
406.621,252.708,3136.78,3455.23,408.683,3681.38,16
609.931,346.052,3030.08,3193.13,412.658,3492.95,17
156.393,133.367,3954.53,3430.65,411.799,4692.6,18
344.064,234.079,3669.21,3463.29,411.14,7663.86,19
15.6393,18.7876,4667.25,3158.31,410.799,7320,20
78.1963,76.2385,2522.09,3161.81,411.799,5883.4,21
31.2785,35.281,1907.66,3185.82,410.799,3341.5,22
15.6393,18.7876,2551.6,3383.38,410.799,7252,23
31.2785,35.281,2396.56,3434.65,410.799,5823,24
125.114,103.047,969.872,3469.66,412.049,4500,25
234.589,176.336,4379.99,3042.45,416.467,4630.47,26
125.114,103.047,3513.14,3117.05,414.55,3371.25,27
46.9178,50.4766,3839.49,3046.61,417.467,6081.33,28
93.8355,90.8091,4715.18,3075.79,418.301,5079.5,29
93.8355,89.0989,4495.94,3105.8,417.05,5902.67,30
62.557,63.3573,3128.03,3169.57,415.8,6179,31
969.634,467.574,3533.96,3259.8,420.882,2958.29,32
15.6393,18.7876,3241.81,3235.84,418.301,6173,33
156.393,130.046,915.605,3278.6,419.801,4691,34
62.557,63.3573,1219.95,3279.6,418.301,6557.75,35
1157.3,516.573,3059.09,3350.67,422.897,2875.76,36
297.146,231.816,3359.48,3527.9,420.933,3896.26,37
406.621,256.228,3430.23,3306.15,423.399,3402.73,38
46.9178,50.4662,4568.05,3247.51,423.302,6270,39
140.753,122.488,2693.59,3485.64,425.525,4716.67,40
250.228,184.88,4378.41,3526.39,425.49,4129.44,41
703.766,421.998,1666.78,3130.25,430.749,4316.84,42
1751.6,691.251,1386.63,3162.89,432.1,2853.1,43
16280.5,3111.21,4228.73,3098.8,441.125,2022.57,44
437.899,265.538,1138.32,3303.89,430.894,2862.07,45
234.589,170.742,1882.9,3441.57,430.805,4336.8,46
1047.83,485.187,926.855,3174.18,438.941,2925.96,47
1595.2,655.657,2211.79,3385.17,440.293,2462.25,48
78.1963,78.2303,2848.69,3455.9,435.306,5313.4,49
46.9178,50.4662,4756.44,3386.72,435.806,6129.67,50
172.032,135.763,2740.52,3216.97,443.536,5501.55,51
46.9178,50.4766,2474.08,3340.04,442.475,4923.33,52
15.6393,18.7876,713.544,3253.34,443.308,5734,53
15.6393,18.7876,3526.9,3053.28,448.31,7297,54
312.785,209.406,2567.11,3081.17,451.061,3713.3,55
93.8355,89.0989,2160.65,3085.79,449.977,4968,56
46.9178,50.4662,4267.96,3259.18,448.31,6509.67,57
46.9178,50.4766,2520.76,3233.34,454.979,6593,58
15.6393,18.7876,1256.21,3103.3,455.812,7212,59
156.393,131.052,2013.69,3116.55,460.063,5105.6,60
12589.6,2614.86,4510.17,3153.32,472.668,2188.07,61
344.064,225.858,3461.42,3372.47,463.087,4032.05,62
