"PlatesV3.flat.Label-Analysis"
"Volume3d (µm^3) ","Area3d (µm^2) ","BaryCenterX (µm) ","BaryCenterY (µm) ","BaryCenterZ (µm) ","Mean","index"
15.6393,18.7876,1955.66,3166.53,189.858,5786,1
12355,4356.81,2004.94,3195.6,195.214,7604.14,2
31.2785,35.281,2028.18,3217.8,189.858,5781.5,3
750.684,643.168,4036.14,3359.77,190.014,3902.08,4
234.589,172.041,822.817,3548.15,191.025,3078.47,5
93.8355,86.8047,2477.07,3547.48,191.525,5243.5,6
375.342,255.686,3968.98,3594.68,190.9,2604.33,7
156.393,127.46,1364.73,3627.42,190.858,4212.8,8
4269.52,1257.1,3259.52,3249.75,200.255,1856.13,9
15.6393,18.7876,3248.55,3644.18,192.359,5083,10
62.557,64.3534,3007.86,3471,196.735,4209.5,11
156.393,126.474,3737.45,3633.68,196.36,3105.3,12
46.9178,50.4662,3431.94,3590.83,197.36,4663.67,13
125.114,108.934,2879.38,3622.3,198.923,4024.75,14
31.2785,35.281,1788.11,3165.28,199.861,3860.5,15
62.557,63.3781,2320.77,3540.4,201.111,5484.5,16
218.95,177.978,2254.68,3247.09,203.969,4764.5,17
31.2785,35.281,2703.39,3337.84,202.362,5553,18
265.867,189.53,2213.68,3472.21,204.421,3668.71,19
10791.1,2397.21,1471.14,3154.6,216.971,1578.42,20
15.6393,18.7876,4416.41,3226.55,204.862,5960,21
15.6393,18.7876,1015.38,3279.07,207.363,5457,22
15.6393,18.7876,3386.1,3406.61,207.363,5945,23
2549.2,887.775,2525.08,3469.46,214.697,2041.8,24
78.1963,76.2281,2766.91,3333.08,211.865,4925.4,25
406.621,252.386,3698.59,3353.61,215.25,2624.77,26
766.323,396.933,4240.13,3499.24,217.672,2605.71,27
15.6393,18.7876,852.826,3511.64,212.365,4462,28
15.6393,18.7876,3246.05,3411.61,214.865,5341,29
17734.9,3481.86,1461.24,3402.96,229.438,2113.53,30
437.899,265.277,3023.75,3213.06,220.135,2586.82,31
46.9178,50.4766,4402.24,3289.07,219.033,5191.67,32
93.8355,90.1153,2396.21,3449.54,218.2,3492.33,33
62.557,64.3534,1072.27,3518.52,219.242,4719,34
15.6393,18.7876,657.767,3524.14,217.366,4563,35
93.8355,89.0989,2862.6,3254.06,221.534,3385.83,36
31.2785,35.281,2330.77,3427.86,219.867,5040,37
